,origin,destination,distance,duration
441,Age UK Sunderland,Belle Vue Play Scheme,39271,2050
442,Age UK Sunderland,Belle Vue Youth Project,39271,2050
443,Age UK Sunderland,Benfield School,24771,1810
444,Age UK Sunderland,Beyond Limits,52858,3417
445,Age UK Sunderland,Bibby House - Changing Lives,15111,1097
446,Age UK Sunderland,Bilton Hall Community Trust,14365,1132
447,Age UK Sunderland,Blyth Star Enterprises,38665,2561
448,Age UK Sunderland,Brougham Primary School,33725,1806
449,Age UK Sunderland,Byker Community Association,24173,1908
450,Age UK Sunderland,Cafe on the Shire - NTDF,23890,1851
451,Age UK Sunderland,Changing Lives,18695,1278
452,Age UK Sunderland,Cheesy Waffles Project,17706,1382
453,Age UK Sunderland,Chester West & Central Community Project @ Bullion Hall,17035,1485
454,Age UK Sunderland,Choysez,39767,2485
455,Age UK Sunderland,Corbridge Middle School,52243,2607
456,Age UK Sunderland,Cornerstones Cafe,15347,1391
457,Age UK Sunderland,County Durham Tees Valley Rescue Mission,41841,2371
458,Age UK Sunderland,Cumberland House,25472,1674
459,Age UK Sunderland,Delta North Consett (formerly YMCA),36622,2834
460,Age UK Sunderland,Dementia Care,33870,2247
461,Age UK Sunderland,Dynamix Extreme Cic,19118,1366
462,Age UK Sunderland,East Durham Community Initiatives,9382,805
463,Age UK Sunderland,East Durham Partnership,19761,1166
464,Age UK Sunderland,Eastlea Community,9724,811
465,Age UK Sunderland,Elliott House /Westbridge,27053,1920
466,Age UK Sunderland,Emmaus North East,10655,1093
467,Age UK Sunderland,Eslington House Changing Lives,23157,1490
468,Age UK Sunderland,Excelsior Academy,28711,1869
469,Age UK Sunderland,Family Gateway,19000,1462
470,Age UK Sunderland,Felling Community Association,17100,1288
471,Age UK Sunderland,Forage Community Project,2084,301
472,Age UK Sunderland,Francis House Changing Lives,25587,1692
473,Age UK Sunderland,Gateshead Young Peoples Mental Health Service,20386,1629
474,Age UK Sunderland,Great Lumley Community Centre,16572,1354
475,Age UK Sunderland,Great North Road Changing Lives,20289,1650
476,Age UK Sunderland,Green Gates Primary,64326,2867
477,Age UK Sunderland,Harrowgate Hill Primary,45822,2564
478,Age UK Sunderland,Haswell Mencap Lisa Dixon Centre,18845,1584
479,Age UK Sunderland,Health Works Newcastle,31074,1898
480,Age UK Sunderland,Hub of Wishes,41500,2356
481,Age UK Sunderland,Investing in People and Culture,20331,1602
482,Age UK Sunderland,"Jet (Wicker Chair) North,  Westerhope",31151,1874
483,Age UK Sunderland,Junction 7,41500,2356
484,Age UK Sunderland,Junior Neighbourhood Watch,41500,2356
485,Age UK Sunderland,Kibblesworth Village Millenium Centre,19614,1466
